Time,Pico32_1,Pico32_2,5TM_1,5TM_2,10HS_3,10HS_4,theta_grav
2017-03-18 04:50:00,0.18850000000000003,0.1525,0.09636683017015457,0.11111623048782349,0.24594010412693024,0.22832812368869781,0.1740788388082525
2017-03-18 05:00:00,0.1884,0.15230000000000002,0.09683362394571304,0.11111623048782349,0.24594010412693024,0.22832812368869781,0.17406610644257892
2017-03-18 05:10:00,0.1884,0.1524,0.09683362394571304,0.11157093197107315,0.24594010412693024,0.22832812368869781,0.17406610644257892
2017-03-18 05:20:00,0.1887,0.1522,0.09636683017015457,0.11157093197107315,0.24548213183879852,0.22832812368869781,0.17405337407690533
2017-03-18 05:30:00,0.1883,0.15230000000000002,0.09402714669704437,0.11383884400129318,0.24226996302604675,0.22785711288452148,0.17404064171123174
2017-03-18 05:40:00,0.18850000000000003,0.15230000000000002,0.0949641689658165,0.11383884400129318,0.24364803731441498,0.22832812368869781,0.17404064171123174
2017-03-18 05:50:00,0.1882,0.1524,0.0954321026802063,0.11383884400129318,0.24410690367221832,0.22832812368869781,0.17402790934555837
2017-03-18 06:00:00,0.1883,0.1524,0.0949641689658165,0.11383884400129318,0.24410690367221832,0.22832812368869781,0.17401517697988478
2017-03-18 06:10:00,0.18850000000000003,0.1524,0.0949641689658165,0.11383884400129318,0.24410690367221832,0.22832812368869781,0.17401517697988478
2017-03-18 06:20:00,0.18850000000000003,0.1521,0.0949641689658165,0.11383884400129318,0.24364803731441498,0.22785711288452148,0.1740024446142112
2017-03-18 06:30:00,0.1881,0.152,0.09355806559324265,0.11383884400129318,0.24226996302604675,0.22785711288452148,0.1739897122485376
2017-03-18 06:40:00,0.1882,0.1521,0.09402714669704437,0.11338600516319275,0.24226996302604675,0.22785711288452148,0.1739897122485376
2017-03-18 06:50:00,0.1881,0.152,0.0949641689658165,0.11247921735048294,0.24364803731441498,0.22785711288452148,0.173976979882864
2017-03-18 07:00:00,0.1882,0.152,0.09636683017015457,0.11157093197107315,0.24548213183879852,0.22832812368869781,0.17396424751719067
2017-03-18 07:10:00,0.188,0.1517,0.09589965641498566,0.11202526092529297,0.2450239360332489,0.22832812368869781,0.17395151515151708
